Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
248,199440807350670,January,AL,3477.1765,1260.0,40,39,1,,45,2,1,1,4,"Native, Born In US",63,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,31.5,3.449987545831587
678,429940631160930,January,AZ,4279.9762,1788.0,50,43,1,,28,2,7,0,0,"Native, Born In US",86,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,35.76,3.576829950305313
679,429940631160930,January,AZ,4505.0438,1730.0,50,43,1,,53,2,7,0,0,"Native, Born In US",86,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,34.6,3.543853682063679
946,900950090403829,January,AR,1783.3996,1923.0,70,39,1,,32,2,1,0,0,"Native, Born In US",71,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,27.47142857142857,3.3131465035394205
1134,599600268580630,January,AR,1483.9404,1050.0,35,40,1,,35,2,5,2,10,"Native, Born In US",71,Elementary and secondary schools (6111),2540,Government - Federal,No,No,Employed-At Work,1,30.0,3.4011973816621555
2442,70910360908069,January,CA,2831.3894,288.0,18,42,1,,48,2,1,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,16.0,2.772588722239781
2539,96933007013645,January,CA,3060.9446,405.54,27,40,1,1.0,31,2,5,4,10,"Foreign Born, Not a US Citizen",93,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,15.020000000000001,2.709382646335989
2719,300609992132215,January,CA,2940.4224,240.0,15,42,1,1.0,39,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,16.0,2.772588722239781
2963,700600056102812,January,CA,3396.2494,51.0,6,40,1,,20,2,7,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2540,"Private, Nonprofit",No,No,Employed-At Work,1,8.5,2.1400661634962708
3045,760341003905396,January,CA,4113.459,346.15,30,39,2,,23,2,7,1,2,"Native, Born In US",93,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,11.538333333333332,2.4456748254618788
3079,803902170070806,January,CA,2935.9702,87.5,5,39,8,,34,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,17.5,2.8622008809294686
3579,150988099907309,January,CO,2636.8624,1590.0,40,43,10,,46,1,1,1,4,"Native, Born In US",84,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,0,39.75,3.6826098411003407
3650,879610904480730,January,CO,1460.1719,520.0,40,40,1,1.0,44,2,6,1,3,"Foreign Born, US Cit By Naturalization",84,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,13.0,2.5649493574615367
4285,59660390970697,January,CT,1132.1002,494.0,38,42,1,,59,2,5,0,0,"Native, Born In US",CT,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,13.0,2.5649493574615367
4311,95570390979397,January,CT,1151.0512,400.0,35,40,1,7.0,18,2,7,0,0,"Foreign Born, Not a US Citizen",CT,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-Absent,1,11.428571428571429,2.436116485618568
5700,989032729139360,January,FL,3122.9209,880.0,40,39,2,,64,2,1,2,3,"Native, Born In US",59,Elementary and secondary schools (6111),2540,"Private, For Profit",No,No,Employed-At Work,1,22.0,3.091042453358316
5868,190983408016298,January,FL,3658.5797,576.0,40,42,1,,47,2,1,2,4,"Native, Born In US",59,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,14.4,2.667228206581955
6088,507004731103942,January,FL,3854.5951,769.0,40,44,2,,33,2,1,1,3,"Foreign Born, US Cit By Naturalization",59,Elementary and secondary schools (6111),2540,"Private, Nonprofit",Yes,,Employed-At Work,1,19.225,2.9562115153917077
6780,929093946179660,January,GA,3257.6963,112.5,15,40,1,,20,2,7,0,0,"Native, Born In US",58,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-At Work,1,7.5,2.0149030205422647
6819,975013944179180,January,GA,3454.7842,2884.61,40,43,1,,47,2,1,2,4,"Native, Born In US",58,Elementary and secondary schools (6111),2540,"Private, Nonprofit",Yes,,Employed-At Work,1,72.11525,4.27826553371462
7084,255769530927100,January,HI,506.5868,1020.0,30,40,4,,44,2,7,2,3,"Native, Born Abroad Of US Parent(s)",95,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,1,34.0,3.5263605246161616
7267,351950027908274,January,HI,473.4498,865.0,40,42,1,,41,2,1,1,4,"Native, Born In US",95,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,1,21.625,3.073850052817943
7566,761203013906594,January,ID,1350.0187,576.92,40,40,1,,40,2,7,0,0,"Native, Born In US",82,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,14.422999999999998,2.668824154601373
7630,913006915179510,January,ID,908.4624,400.0,35,42,1,,57,2,5,0,0,"Native, Born In US",82,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,11.428571428571429,2.436116485618568
8217,473197437700672,January,IL,2409.6205,1000.0,40,39,1,1.0,43,2,1,1,4,"Native, Born In US",IL,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,25.0,3.2188758248682006
8269,710709877669510,January,IL,3062.2235,1153.0,40,43,4,,45,2,1,2,10,"Foreign Born, US Cit By Naturalization",IL,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,28.825,3.3612430661551227
8520,190975091913959,January,IL,2920.4835,440.0,40,41,2,,34,2,1,2,3,"Native, Born In US",IL,Elementary and secondary schools (6111),2540,"Private, For Profit",No,No,Employed-At Work,1,11.0,2.3978952727983707
8704,105053401093891,January,IN,3609.9382,305.55,28,40,1,,40,2,1,2,10,"Native, Born In US",IN,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,10.9125,2.3899089211657207
9042,784019961179700,January,IA,1399.5237,464.4,36,40,1,,50,2,1,2,10,"Native, Born In US",IA,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-Absent,1,12.899999999999999,2.5572273113676265
9046,791685057908494,January,IA,1399.5237,512.0,32,39,1,,51,2,1,0,0,"Native, Born In US",IA,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,16.0,2.772588722239781
9502,502814027001617,January,KS,1900.159,397.25,35,43,1,,24,2,7,0,0,"Native, Born In US",47,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,11.35,2.4292177439274116
9589,874296409000603,January,KS,1575.0336,300.0,36,39,1,,64,2,5,0,0,"Native, Born In US",47,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,8.333333333333334,2.120263536200091
9622,52252300994695,January,KS,1668.8433,477.3,37,39,1,,47,2,5,0,0,"Native, Born In US",47,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,12.9,2.5572273113676265
9679,550900098627379,January,KS,1751.964,300.0,40,44,1,,51,2,7,0,0,"Native, Born In US",47,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,7.5,2.0149030205422647
9752,81772700794295,January,KS,1626.2601,192.1,20,44,1,,44,2,1,3,10,"Native, Born In US",47,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,9.605,2.2622837962205202
10535,620933077727539,January,ME,710.2441,371.4,30,40,1,,30,2,5,2,8,"Native, Born In US",ME,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,12.379999999999999,2.51608226725645
10545,655083961239890,January,ME,537.399,880.0,46,40,1,,56,2,1,0,0,"Native, Born In US",ME,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,19.130434782608695,2.9512805109831572
10893,380941074827689,January,MD,2366.1426,576.92,40,43,2,,44,1,1,2,8,"Native, Born In US",52,Elementary and secondary schools (6111),2540,"Private, Nonprofit",No,No,Employed-At Work,0,14.422999999999998,2.668824154601373
10895,430298689400870,January,MD,1467.8002,300.0,20,43,1,,45,2,1,2,3,"Native, Born In US",52,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,15.0,2.70805020110221
11069,273927107054418,January,MD,1733.3242,857.5,35,43,1,,25,2,1,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),2540,"Private, For Profit",No,No,Employed-At Work,1,24.5,3.1986731175506815
11078,277276219400672,January,MD,1907.9886,135.0,20,37,1,,17,2,7,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,6.75,1.9095425048844386
11123,320407987835888,January,MD,1601.0513,450.0,30,43,1,,43,2,1,1,3,"Native, Born In US",52,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,15.0,2.70805020110221
