id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31840,A Residenza Martin  Classic room,380378,Officina 360,,Centro Storico,43.77709,11.25216,Private room,122,1,131,2024-06-08,0.77,31,353,7,
32120,Welcome at Corte Verde in Florence,99235,Lucia,,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,95,1,26,2023-10-09,0.16,1,53,2,
32180,Charming Gem - Oltrarno City centre,13925330,Cesare,,Centro Storico,43.76832,11.24348,Entire home/apt,109,6,34,2023-12-06,0.20,1,265,5,048017LTN9464
39115,Central Double Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,104,2,78,2024-05-15,0.46,10,305,10,
39165,Florence Central Double Private Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,121,2,21,2024-04-08,0.13,10,283,3,
39822,Apartment Santa Monaca,154769,Matilde,,Centro Storico,43.76742,11.24378,Entire home/apt,120,4,29,2023-09-10,0.17,3,252,1,
43369,Pinzochere Mansarda at SANTA CROCE,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,228,3,8,2023-08-24,0.06,79,49,1,048017LTN4271
44781,Stylish Terrace on Boboli Gardens,33210,Rocco,,Centro Storico,43.76417541503906,11.246184349060059,Entire home/apt,199,4,406,2024-06-17,2.44,1,155,37,048017LTN10917
45606,MATTEO Apart. Florence Centre,202686,Tarcisio,,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,68,31,440,2023-10-22,2.78,3,0,14,
46520,A Residenza Martin:  Superior room,380378,Officina 360,,Centro Storico,43.77699,11.25216,Private room,138,1,104,2024-01-29,0.62,31,351,8,
46523,A Residenza Martin:  Single room,380378,Officina 360,,Centro Storico,43.77704,11.25217,Private room,103,1,262,2024-04-30,1.57,31,343,15,
46524,A Residenza Martin:  Deluxe room,380378,Officina 360,,Centro Storico,43.777,11.25216,Private room,141,1,111,2024-01-20,0.69,31,357,15,
47498,Leonardo House,215302,Darko,,Centro Storico,43.77386,11.25028,Private room,99,1,521,2023-09-15,3.12,3,19,5,
